pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
9,"栃木県",21814,"原向","はらむこう","",36.617204,139.419832
9,"栃木県",21816,"福居","ふくい","",36.305488,139.458342
9,"栃木県",21817,"藤岡","ふじおか","",36.255996,139.645857
9,"栃木県",21818,"文挾","ふばさみ","",36.637207,139.728027
9,"栃木県",21819,"宝積寺","ほうしゃくじ","",36.631462,139.979423
9,"栃木県",21820,"堀米","ほりごめ","",36.328293,139.580387
9,"栃木県",21821,"益子","ましこ","",36.462676,140.088450
9,"栃木県",21822,"間藤","まとう","",36.652644,139.449910
9,"栃木県",21823,"間々田","ままだ","",36.257887,139.760986
9,"栃木県",21825,"南宇都宮","みなみうつのみや","",36.544136,139.872325
9,"栃木県",21826,"壬生","みぶ","",36.422870,139.805114
9,"栃木県",21824,"明神","みょうじん","",36.676341,139.712221
9,"栃木県",21827,"真岡","もおか","",36.439066,140.002791
9,"栃木県",21828,"茂木","もてぎ","",36.530615,140.181466
9,"栃木県",21829,"樅山","もみやま","",36.533246,139.741892
9,"栃木県",21830,"矢板","やいた","",36.806859,139.932947
9,"栃木県",21831,"野州大塚","やしゅうおおつか","",36.408844,139.773117
9,"栃木県",21832,"野州平川","やしゅうひらかわ","",36.401704,139.753842
9,"栃木県",21833,"野州山辺","やしゅうやまべ","",36.326318,139.431899
9,"栃木県",21834,"安塚","やすづか","",36.485447,139.835414
9,"栃木県",21835,"山前","やままえ","",36.347316,139.411150
9,"栃木県",21836,"湯西川温泉","ゆにしがわおんせん","",36.929481,139.688600
9,"栃木県",21837,"吉水","よしみず","",36.345208,139.579164
9,"栃木県",21838,"龍王峡","りゅうおうきょう","",36.860849,139.718601
