pref_code,pref_name,station_code,station_name,station_yomi,station_note,station_lat,station_lon
10,"群馬県",21922,"長野原草津口","ながのはらくさつぐち","",36.546531,138.649871
10,"群馬県",21923,"成島","なるしま","群馬県",36.249134,139.505841
10,"群馬県",21924,"南蛇井","なんじゃい","",36.238206,138.813844
10,"群馬県",21926,"新里","にいさと","群馬県",36.418472,139.236995
10,"群馬県",21927,"西桐生","にしきりゅう","",36.414113,139.333015
10,"群馬県",21928,"西小泉","にしこいずみ","",36.258241,139.408377
10,"群馬県",21929,"西富岡","にしとみおか","",36.260121,138.882810
10,"群馬県",21930,"西松井田","にしまついだ","",36.316225,138.786370
10,"群馬県",21931,"西山名","にしやまな","",36.271011,139.032380
10,"群馬県",21932,"西吉井","にしよしい","",36.255707,138.965802
10,"群馬県",21925,"新川","にっかわ","群馬県",36.418139,139.257910
10,"群馬県",21933,"韮川","にらがわ","",36.307903,139.401708
10,"群馬県",21934,"沼田","ぬまた","",36.642528,139.035751
10,"群馬県",21935,"根小屋","ねごや","",36.291425,139.018769
10,"群馬県",21936,"花輪","はなわ","",36.520795,139.307873
10,"群馬県",21937,"羽根尾","はねお","",36.550169,138.605485
10,"群馬県",21938,"東小泉","ひがしこいずみ","",36.259436,139.429070
10,"群馬県",21939,"東富岡","ひがしとみおか","",36.260844,138.901863
10,"群馬県",21940,"東新川","ひがしにっかわ","群馬県",36.422028,139.267631
10,"群馬県",21941,"樋越","ひごし","",36.415471,139.173250
10,"群馬県",21942,"袋倉","ふくろぐら","",36.544113,138.578876
10,"群馬県",21943,"富士山下","ふじやました","",36.413974,139.315822
10,"群馬県",21944,"細谷","ほそや","群馬県",36.282516,139.348520
10,"群馬県",21945,"本中野","ほんなかの","",36.258520,139.469761
10,"群馬県",21946,"前橋","まえばし","",36.383195,139.073205
10,"群馬県",29259,"前橋大島","まえばしおおしま","",36.370530,139.109674
10,"群馬県",21947,"松井田","まついだ","",36.309254,138.797675
10,"群馬県",21948,"馬庭","まにわ","",36.261401,139.009604
10,"群馬県",21949,"丸山下","まるやました","",36.416834,139.321321
10,"群馬県",21950,"万座・鹿沢口","まんざかざわぐち","",36.532059,138.551240
10,"群馬県",21951,"水沼","みずぬま","",36.500019,139.277460
10,"群馬県",21952,"三俣","みつまた","",36.393750,139.088953
10,"群馬県",21953,"水上","みなかみ","",36.778623,138.968806
10,"群馬県",21954,"南高崎","みなみたかさき","",36.312340,139.012268
10,"群馬県",21955,"本宿","もとじゅく","群馬県",36.481548,139.259073
10,"群馬県",21956,"茂林寺前","もりんじまえ","",36.225526,139.527118
10,"群馬県",21957,"八木原","やぎはら","",36.463602,139.019094
10,"群馬県",21958,"矢倉","やぐら","",36.552672,138.784137
10,"群馬県",21959,"藪塚","やぶづか","",36.358980,139.315269
10,"群馬県",21960,"山名","やまな","",36.277538,139.038129
10,"群馬県",21961,"湯檜曽","ゆびそ","",36.802704,138.986498
10,"群馬県",21962,"横川","よこかわ","群馬県",36.335917,138.737873
10,"群馬県",21963,"吉井","よしい","群馬県",36.256124,138.984440
10,"群馬県",21964,"竜舞","りゅうまい","",36.279184,139.408931
10,"群馬県",21965,"渡瀬","わたらせ","群馬県",36.261744,139.536922
